speaker,start_time,end_time,text
SAM,00:15:59,00:16:30,"While he's doing that, Scanlan is feeling still terribly sad about leaving Pike. So overcome with emotion that he must step into the ruins one last time, just to see the place where she's going to be for the next several months, years. And before I do so, I drink one of my potions that I bought from what's-his-butt. Gilmore, the glorious Gilmore. Yes."
MATT,00:16:30,00:16:31,All right.
SAM,00:16:31,00:16:33,"I don't know how it works, but I'm going to drink it anyway."
MATT,00:16:33,00:16:34,"Okay, you drink it."
SAM,00:16:34,00:16:58,"Okay, I drink it. I go inside the ruins and look around and touch some of the walls and look at the stonework and everything. I want to see where she's going to be so I know she's safe. Overcome with a little bit of verklempt emotion, I shed a single tear."
MATT,00:16:58,00:17:27,"As you quietly take this moment to yourself amongst the ruins, you can hear the clattering of stonework as the small band of Sarenrae worshipers are now being helped by Pike, who's gathered them into a plan as to how to remove and restore portions of the building that are currently visible from the dirt and earth that it's embedded in. Hearing her voice echo through the hallway, it's a very comforting sense. You feel a rumbling in your stomach."
SAM,00:17:27,00:17:37,I feel uncomfortable. It must be the emotion.
MATT,00:17:37,00:17:39,It's probably the emotion.
SAM,00:17:39,00:17:47,I find a side chamber or a little nook. Somewhere where I can have some privacy.
MATT,00:17:47,00:18:05,"Okay. You find your way back towards the makeshift wooden plank stairway and there was a small alcove not far from there within the earth wall that looks to be relatively private. There's little to no light, and it does have a view of the current ruin."
SAM,00:18:05,00:18:13,"I say a little prayer, and I take a big dump on the floor."
TRAVIS,00:18:13,00:18:15,(laughing) No you do not!
SAM,00:18:15,00:18:17,"Well, my stomach was rumbling."
TRAVIS,00:18:17,00:18:19,"(laughing) You're in a temple, man!"
LAURA,00:18:19,00:18:25,Pike's probably going to have to be the one to clean that up!
SAM,00:18:25,00:18:45,"Sometimes it just affects me. I have weak nerves. And as I'm squatting, I hum to myself. (singing) How do I say goodbye to what we almost had?"
ORION,00:18:45,00:18:48,"This is not romantic at all, you know that, right?"
MATT,00:18:48,00:18:50,"Welcome back, guys."
MARISHA,00:18:50,00:18:53,I've missed you guys so much.
MATT,00:18:53,00:19:12,"As you finish your business, you step away from the alcove back to the stairway. The contents of the potion seem to have had some effect, as the remnants of what you leave behind have a very soft blue glowing hue to them."
SAM,00:19:12,00:19:15,I left a magic dump.
TRAVIS,00:19:15,00:19:16,Do we need to collect the dump?
SAM,00:19:16,00:19:18,Nope. We should leave the dump.
LAURA,00:19:18,00:19:21,Are you going to be able to see through the dump?
TRAVIS,00:19:21,00:19:23,He's covering his face. I think we need the blue shit.
MARISHA,00:19:23,00:19:26,Can you cast Detect Magic on the poo?
SAM,00:19:26,00:19:27,It's already magical poo.
ORION,00:19:27,00:19:29,Are we there? We're not there.
LAURA,00:19:29,00:19:31,We're not there. It's just Scanlan.
ORION,00:19:31,00:19:33,Okay. So he's just shitting.
LAURA,00:19:33,00:19:34,He's just leaving it.
SAM,00:19:34,00:19:43,"So I leave and rejoin my fellows, wiping the tear from my eye and the poo from my bottom."
ORION,00:19:43,00:19:46,"Well, I love you Ashley. I do."
MARISHA,00:19:46,00:19:48,This is what happens when we don't have any direction.
TRAVIS,00:19:48,00:19:50,But what's the purpose of the potion? To make your poo blue?
SAM,00:19:50,00:20:01,I took a potion that will let me see through my poo and check in on Pike from time to time.
LAURA,00:20:01,00:20:06,Will she realize you can see her through the poop?
SAM,00:20:06,00:20:08,I certainly hope not.
LAURA,00:20:08,00:20:12,Wouldn't that be great if she could just talk to you through the poo?
LIAM,00:20:12,00:20:14,Why aren't the priests going to shovel that shit up?
SAM,00:20:14,00:20:23,"As long as some of my cellular remains are there, I might be able to see a little bit into the room."
LIAM,00:20:23,00:20:25,"What's ""cellular?"""
SAM,00:20:25,00:20:26,(laughs) It's poo.
LIAM,00:20:26,00:20:29,"Oh, you mean little flakes of poo."
MATT,00:20:29,00:20:59,"For the sake of brevity in story progression here, and to dissuade a 30-minute conversation about Scanlan's excrement. After you've rejoined the party, the sun is now set. The cold air is beginning to really sweep in through the streets. The clouds overhead begin to slowly rumble and you can hear distant thunder, and you get the feeling due to the moisture in the air, you're not too far away from a rain."
LAURA,00:20:59,00:21:02,Should we bunk for the night before we head out in the morning?
TALIESIN,00:21:02,00:21:03,I say we head to the ship.
TRAVIS,00:21:03,00:21:05,Wasn't there a guy with a red beard we were supposed to go see?
LAURA,00:21:05,00:21:11,I wanted to wander over to the statue while Scanlan was dumping.
SAM,00:21:11,00:21:12,"I feel great right now, by the way."
TALIESIN,00:21:12,00:21:16,Finding some relief in the situation.
ORION,00:21:16,00:21:23,"Damn it. Just when I was starting to like you, gnome."
LIAM,00:21:23,00:21:27,Moving on. Let's go take a look at this statue.
MATT,00:21:27,00:21:29,(chuckling) All right.
SAM,00:21:29,00:21:34,It's magic poo!
LIAM,00:21:34,00:21:40,"Don't change, Scanlan."
MATT,00:21:40,00:21:46,As you guys make your way through the center of this district--
LAURA,00:21:46,00:21:48,I feel like it's dark now.
