speaker,start_time,end_time,reason
TRAVIS,02:17:53,02:17:53,invalid_range
MATT,02:18:04,02:18:04,invalid_range
TRAVIS,02:18:14,02:18:14,invalid_range
LIAM,02:18:44,02:18:44,invalid_range
LAURA,02:20:37,02:20:37,invalid_range
MARISHA,02:20:40,02:20:40,invalid_range
MATT,02:20:50,02:20:50,invalid_range
MARISHA,02:20:53,02:20:53,invalid_range
MATT,02:21:01,02:21:01,invalid_range
SAM,02:21:50,02:21:50,invalid_range
MATT,02:22:07,02:22:07,invalid_range
LAURA,02:22:20,02:22:20,invalid_range
LAURA,02:22:38,02:22:38,invalid_range
TRAVIS,02:22:44,02:22:44,invalid_range
MATT,02:22:52,02:22:52,invalid_range
LAURA,02:22:59,02:22:59,invalid_range
MARISHA,02:24:06,02:24:06,invalid_range
TALIESIN,02:24:12,02:24:12,invalid_range
MATT,02:42:50,02:42:50,invalid_range
TRAVIS,02:42:58,02:42:58,invalid_range
SAM,02:43:59,02:43:59,invalid_range
TRAVIS,02:44:06,02:44:06,invalid_range
SAM,02:46:01,02:46:01,invalid_range
SAM,02:46:48,02:46:48,invalid_range
SAM,02:46:57,02:46:57,invalid_range
MATT,02:47:02,02:47:02,invalid_range
TRAVIS,02:47:38,02:47:38,invalid_range
LAURA,02:47:49,02:47:49,invalid_range
MARISHA,02:48:11,02:48:11,invalid_range
MARISHA,02:48:13,02:48:13,invalid_range
SAM,02:48:44,02:48:44,invalid_range
SAM,02:48:46,02:48:46,invalid_range
LAURA,02:49:01,02:49:01,invalid_range
TALIESIN,02:49:09,02:49:09,invalid_range
TALIESIN,02:49:11,02:49:11,invalid_range
MATT,02:49:12,02:49:12,invalid_range
SAM,02:49:14,02:49:14,invalid_range
SAM,02:49:15,02:49:15,invalid_range
SAM,02:49:58,02:49:58,invalid_range
SAM,02:49:59,02:49:59,invalid_range
MATT,02:50:27,02:50:27,invalid_range
LIAM,02:50:38,02:50:38,invalid_range
MATT,02:51:22,02:51:22,invalid_range
MATT,02:51:35,02:51:35,invalid_range
TRAVIS,02:51:48,02:51:48,invalid_range
TRAVIS,02:51:50,02:51:50,invalid_range
MARISHA,02:51:59,02:51:59,invalid_range
SAM,02:52:16,02:52:16,invalid_range
MATT,02:52:43,02:52:43,invalid_range
SAM,02:52:47,02:52:47,invalid_range
MATT,02:52:54,02:52:54,invalid_range
SAM,02:53:13,02:53:13,invalid_range
SAM,02:53:28,02:53:28,invalid_range
LIAM,02:53:40,02:53:40,invalid_range
SAM,02:53:42,02:53:42,invalid_range
SAM,02:54:08,02:54:08,invalid_range
SAM,02:54:09,02:54:09,invalid_range
MATT,02:54:11,02:54:11,invalid_range
TRAVIS,02:54:16,02:54:16,invalid_range
SAM,02:54:23,02:54:23,invalid_range
SAM,02:54:37,02:54:37,invalid_range
LAURA,02:54:57,02:54:57,invalid_range
SAM,02:55:25,02:55:25,invalid_range
SAM,02:55:36,02:55:36,invalid_range
MARISHA,02:55:41,02:55:41,invalid_range
LAURA,02:55:44,02:55:44,invalid_range
LAURA,02:56:07,02:56:07,invalid_range
LAURA,02:56:09,02:56:09,invalid_range
SAM,02:56:17,02:56:17,invalid_range
MARISHA,02:56:36,02:56:36,invalid_range
SAM,02:56:39,02:56:39,invalid_range
MATT,02:56:48,02:56:48,invalid_range
LAURA,02:57:14,02:57:14,invalid_range
LIAM,02:57:42,02:57:42,invalid_range
SAM,02:57:46,02:57:46,invalid_range
MARISHA,02:58:00,02:58:00,invalid_range
LAURA,02:58:08,02:58:08,invalid_range
MARISHA,02:58:10,02:58:10,invalid_range
MARISHA,02:58:43,02:58:43,invalid_range
MARISHA,02:58:57,02:58:57,invalid_range
MARISHA,02:59:09,02:59:09,invalid_range
MATT,02:59:22,02:59:22,invalid_range
SAM,02:59:25,02:59:25,invalid_range
SAM,02:59:47,02:59:47,invalid_range
LAURA,02:59:49,02:59:49,invalid_range
LAURA,03:00:06,03:00:06,invalid_range
LAURA,03:00:19,03:00:19,invalid_range
SAM,03:00:50,03:00:50,invalid_range
SAM,03:01:09,03:01:09,invalid_range
MATT,03:01:38,03:01:38,invalid_range
SAM,03:01:41,03:01:41,invalid_range
TRAVIS,03:01:48,03:01:48,invalid_range
MATT,03:02:29,03:02:29,invalid_range
TALIESIN,03:03:36,03:03:36,invalid_range
SAM,03:03:40,03:03:40,invalid_range
MATT,03:03:48,03:03:48,invalid_range
MATT,03:04:07,03:04:07,invalid_range
LAURA,03:05:10,03:05:10,invalid_range
SAM,03:05:12,03:05:12,invalid_range
MATT,03:05:24,03:05:24,invalid_range
SAM,03:05:36,03:05:36,invalid_range
MATT,03:05:42,03:05:42,invalid_range
LAURA,03:07:03,03:07:03,invalid_range
LAURA,03:07:08,03:07:08,invalid_range
TALIESIN,03:07:25,03:07:25,invalid_range
TRAVIS,03:07:31,03:07:31,invalid_range
MARISHA,03:07:37,03:07:37,invalid_range
MARISHA,03:07:50,03:07:50,invalid_range
LAURA,03:07:56,03:07:56,invalid_range
MARISHA,03:08:01,03:08:01,invalid_range
MATT,03:08:13,03:08:13,invalid_range
LAURA,03:08:53,03:08:53,invalid_range
LAURA,03:09:15,03:09:15,invalid_range
TRAVIS,03:10:38,03:10:38,invalid_range
LAURA,03:10:48,03:10:48,invalid_range
TRAVIS,03:10:57,03:10:57,invalid_range
LAURA,03:10:59,03:10:59,invalid_range
MATT,03:11:27,03:11:27,invalid_range
MARISHA,03:11:57,03:11:57,invalid_range
LIAM,03:13:11,03:13:11,invalid_range
TRAVIS,03:13:18,03:13:18,invalid_range
"LAURA, TALIESIN",03:13:33,03:13:33,invalid_range
LAURA,03:13:42,03:13:42,invalid_range
SAM,03:14:01,03:14:01,invalid_range
SAM,03:14:32,03:14:32,invalid_range
TRAVIS,03:14:38,03:14:38,invalid_range
TALIESIN,03:14:56,03:14:56,invalid_range
MATT,03:14:58,03:14:58,invalid_range
TRAVIS,03:14:59,03:14:59,invalid_range
TRAVIS,03:15:29,03:15:29,invalid_range
LAURA,03:16:30,03:16:30,invalid_range
TALIESIN,03:17:32,03:17:32,invalid_range
MATT,03:18:10,03:18:10,invalid_range
TRAVIS,03:18:30,03:18:30,invalid_range
TRAVIS,03:18:33,03:18:33,invalid_range
TRAVIS,03:18:36,03:18:36,invalid_range
TRAVIS,03:18:40,03:18:40,invalid_range
MARISHA,03:19:09,03:19:09,invalid_range
MATT,03:19:18,03:19:18,invalid_range
TRAVIS,03:19:31,03:19:31,invalid_range
TRAVIS,03:19:58,03:19:58,invalid_range
MARISHA,03:20:56,03:20:56,invalid_range
TRAVIS,03:21:00,03:21:00,invalid_range
MATT,03:21:13,03:21:13,invalid_range
MARISHA,03:21:27,03:21:27,invalid_range
MATT,03:21:41,03:21:41,invalid_range
LAURA,03:22:21,03:22:21,invalid_range
SAM,03:22:30,03:22:30,invalid_range
SAM,03:22:32,03:22:32,invalid_range
MARISHA,03:22:38,03:22:38,invalid_range
MATT,03:22:48,03:22:48,invalid_range
TRAVIS,03:23:14,03:23:14,invalid_range
LIAM,03:23:20,03:23:20,invalid_range
ASHLEY,03:23:21,03:23:21,invalid_range
MATT,03:23:22,03:23:22,invalid_range
SAM,03:23:29,03:23:29,invalid_range
SAM,03:23:33,03:23:33,invalid_range
TRAVIS,03:23:35,03:23:35,invalid_range
"LIAM, LAURA, MARISHA",03:23:45,03:23:45,invalid_range
TALIESIN,03:23:52,03:23:52,invalid_range
LIAM,03:23:53,03:23:53,invalid_range
TALIESIN,03:23:55,03:23:55,invalid_range
MATT,03:24:10,03:24:10,invalid_range
SAM,03:24:49,03:24:49,invalid_range
MARISHA,03:25:30,03:25:30,invalid_range
TRAVIS,03:25:34,03:25:34,invalid_range
TRAVIS,03:25:36,03:25:36,invalid_range
MARISHA,03:25:37,03:25:37,invalid_range
TRAVIS,03:25:47,03:25:47,invalid_range
MATT,03:25:48,03:25:48,invalid_range
MATT,03:26:25,03:26:25,invalid_range
LIAM,03:26:27,03:26:27,invalid_range
LAURA,03:26:39,03:26:39,invalid_range
TRAVIS,03:26:43,03:26:43,invalid_range
TRAVIS,03:26:45,03:26:45,invalid_range
LAURA,03:26:50,03:26:50,invalid_range
MARISHA,03:26:53,03:26:53,invalid_range
TALIESIN,03:27:02,03:27:02,invalid_range
TALIESIN,03:27:05,03:27:05,invalid_range
SAM,03:27:18,03:27:18,invalid_range
LAURA,03:27:19,03:27:19,invalid_range
MATT,03:27:30,03:27:30,invalid_range
MARISHA,03:27:30,03:27:30,invalid_range
MATT,03:27:33,03:27:33,invalid_range
MATT,03:27:52,03:27:52,invalid_range
MARISHA,03:28:29,03:28:29,invalid_range
TRAVIS,03:28:36,03:28:36,invalid_range
LAURA,03:28:57,03:28:57,invalid_range
ASHLEY,03:29:20,03:29:20,invalid_range
LAURA,03:29:23,03:29:23,invalid_range
ASHLEY,03:29:35,03:29:35,invalid_range
LIAM,03:29:54,03:29:54,invalid_range
MATT,03:29:57,03:29:57,invalid_range
LAURA,03:30:00,03:30:00,invalid_range
LIAM,03:30:01,03:30:01,invalid_range
LIAM,03:30:13,03:30:13,invalid_range
MARISHA,03:30:22,03:30:22,invalid_range
MATT,03:31:02,03:31:02,invalid_range
TALIESIN,03:31:18,03:31:18,invalid_range
MATT,03:31:32,03:31:32,invalid_range
SAM,03:31:46,03:31:46,invalid_range
SAM,03:31:47,03:31:47,invalid_range
MARISHA,03:31:48,03:31:48,invalid_range
SAM,03:31:50,03:31:50,invalid_range
TRAVIS,03:33:19,03:33:19,invalid_range
MATT,03:33:32,03:33:32,invalid_range
SAM,03:33:44,03:33:44,invalid_range
TALIESIN,03:33:55,03:33:55,invalid_range
LAURA,03:33:56,03:33:56,invalid_range
LIAM,03:34:00,03:34:00,invalid_range
ASHLEY,03:34:06,03:34:06,invalid_range
MATT,03:34:10,03:34:10,invalid_range
LIAM,03:34:17,03:34:17,invalid_range
LAURA,03:34:27,03:34:27,invalid_range
TRAVIS,03:34:45,03:34:45,invalid_range
LAURA,03:34:59,03:34:59,invalid_range
SAM,03:35:13,03:35:13,invalid_range
MATT,03:35:26,03:35:26,invalid_range
MARISHA,03:35:29,03:35:29,invalid_range
MARISHA,03:35:32,03:35:32,invalid_range
TRAVIS,03:37:03,03:37:03,invalid_range
LIAM,03:37:06,03:37:06,invalid_range
LIAM,03:37:29,03:37:29,invalid_range
ASHLEY,03:37:37,03:37:37,invalid_range
TALIESIN,03:37:46,03:37:46,invalid_range
TRAVIS,03:37:56,03:37:56,invalid_range
MATT,03:37:57,03:37:57,invalid_range
SAM,03:39:49,03:39:49,invalid_range
