speaker,start_time,end_time,emotion,scores,text
SAM,00:42:30,00:42:34,Fear,"{'Anger': 0.003133173333480954, 'Calm': 0.0027881907299160957, 'Disgust': 0.08678438514471054, 'Fear': 0.6315847039222717, 'Happy': 0.1954887956380844, 'Neutral': 0.004012745805084705, 'Sad': 0.06988564133644104, 'Surprised': 0.00632237596437335}","Jeez, we should write a note to remind us to look in the book."
MARISHA,00:42:34,00:42:37,Happy,"{'Anger': 0.008749809116125107, 'Calm': 0.011063522659242153, 'Disgust': 0.05253174528479576, 'Fear': 0.03214522451162338, 'Happy': 0.7068893909454346, 'Neutral': 0.005501782521605492, 'Sad': 0.005863697733730078, 'Surprised': 0.17725490033626556}","All right, that'll be my first note. Look in this book."
TRAVIS,00:42:37,00:42:40,Happy,"{'Anger': 0.006256296299397945, 'Calm': 0.002032158663496375, 'Disgust': 0.03409956395626068, 'Fear': 0.04954250156879425, 'Happy': 0.8952693939208984, 'Neutral': 0.0022052479907870293, 'Sad': 0.004516928922384977, 'Surprised': 0.006077997852116823}","From our two clerics, do either of you have any experience with like--"
LAURA,00:42:40,00:42:43,Happy,"{'Anger': 0.0035025805700570345, 'Calm': 0.0015415572561323643, 'Disgust': 0.010388814844191074, 'Fear': 0.014605718664824963, 'Happy': 0.9617287516593933, 'Neutral': 0.0028752852231264114, 'Sad': 0.0020262026228010654, 'Surprised': 0.0033312200102955103}",Greater Restoration! What?
TRAVIS,00:42:43,00:42:45,Sad,"{'Anger': 0.0017157437978312373, 'Calm': 0.006881034001708031, 'Disgust': 0.0383710078895092, 'Fear': 0.09008541703224182, 'Happy': 0.16197814047336578, 'Neutral': 0.19935989379882812, 'Sad': 0.49972274899482727, 'Surprised': 0.0018859868869185448}","Diseases, or--"
TALIESIN,00:42:45,00:42:48,Happy,"{'Anger': 0.0038926282431930304, 'Calm': 0.0017032601172104478, 'Disgust': 0.0038388899993151426, 'Fear': 0.00806550495326519, 'Happy': 0.9735525846481323, 'Neutral': 0.003151441691443324, 'Sad': 0.0009680359507910907, 'Surprised': 0.0048277052119374275}",Greater Restoration! I almost got it that time!
LAURA,00:42:48,00:42:50,Happy,"{'Anger': 0.0027185145299881697, 'Calm': 0.0019378062570467591, 'Disgust': 0.0069018942303955555, 'Fear': 0.06332436203956604, 'Happy': 0.9126675724983215, 'Neutral': 0.002494318410754204, 'Sad': 0.0036960109136998653, 'Surprised': 0.006259540095925331}",Yeah. Do have it prepared? Because I don't.
TALIESIN,00:42:50,00:42:52,Happy,"{'Anger': 0.004985337145626545, 'Calm': 0.004452551249414682, 'Disgust': 0.05406199023127556, 'Fear': 0.07543031126260757, 'Happy': 0.8277702331542969, 'Neutral': 0.005735951475799084, 'Sad': 0.015658559277653694, 'Surprised': 0.011905007995665073}","Yeah, probably, usually."
LAURA,00:42:52,00:42:53,Happy,"{'Anger': 0.006365139968693256, 'Calm': 0.003941066563129425, 'Disgust': 0.07931302487850189, 'Fear': 0.02217261679470539, 'Happy': 0.8460569977760315, 'Neutral': 0.02055498957633972, 'Sad': 0.016124306246638298, 'Surprised': 0.005471774842590094}","I mean, that makes sense that Clay would have it prepared."
TALIESIN,00:42:53,00:42:56,Happy,"{'Anger': 0.01237939391285181, 'Calm': 0.003881750162690878, 'Disgust': 0.20385481417179108, 'Fear': 0.012923026457428932, 'Happy': 0.7322192192077637, 'Neutral': 0.020689046010375023, 'Sad': 0.010431664995849133, 'Surprised': 0.003621140494942665}","Yeah, I got it."
SAM,00:42:56,00:42:59,Sad,"{'Anger': 0.0014604782918468118, 'Calm': 0.005495283752679825, 'Disgust': 0.3570089340209961, 'Fear': 0.10131736099720001, 'Happy': 0.006327322218567133, 'Neutral': 0.004180317744612694, 'Sad': 0.5197446942329407, 'Surprised': 0.00446560001000762}",Would that get rid of a loss of memory?
SAM,00:42:59,00:43:01,Happy,"{'Anger': 0.004629216156899929, 'Calm': 0.012858063913881779, 'Disgust': 0.0789392739534378, 'Fear': 0.22299227118492126, 'Happy': 0.5188433527946472, 'Neutral': 0.00823806133121252, 'Sad': 0.053923048079013824, 'Surprised': 0.09957680106163025}",A magical curse of--?
TALIESIN,00:43:01,00:43:02,Fear,"{'Anger': 0.000589755829423666, 'Calm': 0.0025931433774530888, 'Disgust': 0.009406506083905697, 'Fear': 0.6863018870353699, 'Happy': 0.03365568071603775, 'Neutral': 0.004907908383756876, 'Sad': 0.26047348976135254, 'Surprised': 0.002071651630103588}","Possibly, maybe."
TRAVIS,00:43:02,00:43:11,Disgust,"{'Anger': 0.0032063755206763744, 'Calm': 0.0021299668587744236, 'Disgust': 0.95184326171875, 'Fear': 0.004991693887859583, 'Happy': 0.009158384054899216, 'Neutral': 0.005425053182989359, 'Sad': 0.021306494250893593, 'Surprised': 0.001938867848366499}","And Wild Mother has also given me the ability to remove a poison or cure a disease, if this is a biological thing that this mist is doing, so we could try that on one of the-"
TALIESIN,00:43:11,00:43:14,Disgust,"{'Anger': 0.0015495807165279984, 'Calm': 0.00266400258988142, 'Disgust': 0.921071469783783, 'Fear': 0.006003050599247217, 'Happy': 0.003609968349337578, 'Neutral': 0.0037432380486279726, 'Sad': 0.059525810182094574, 'Surprised': 0.001832862151786685}",This seems more spooky-ookie.
MARISHA,00:43:14,00:43:16,Happy,"{'Anger': 0.0027388024609535933, 'Calm': 0.0011075243819504976, 'Disgust': 0.0037078196182847023, 'Fear': 0.013703039847314358, 'Happy': 0.9710574746131897, 'Neutral': 0.0045325602404773235, 'Sad': 0.0018832329660654068, 'Surprised': 0.0012695182813331485}",I agree.
LAURA,00:43:16,00:43:19,Disgust,"{'Anger': 0.0033185917418450117, 'Calm': 0.0016800996381789446, 'Disgust': 0.9779335260391235, 'Fear': 0.0019321531290188432, 'Happy': 0.0038538342341780663, 'Neutral': 0.0028320159763097763, 'Sad': 0.006227076519280672, 'Surprised': 0.0022227391600608826}","-- like Modify Memory gone really wrong or something, you know?"
ASHLEY,00:43:19,00:43:24,Sad,"{'Anger': 0.0011888693552464247, 'Calm': 0.005100038833916187, 'Disgust': 0.1581549495458603, 'Fear': 0.301766574382782, 'Happy': 0.008260352537035942, 'Neutral': 0.00311428215354681, 'Sad': 0.5174102187156677, 'Surprised': 0.005004689563065767}","Yeah, but what if-- what if maybe they wanted to forget?"
MARISHA,00:43:24,00:43:26,Sad,"{'Anger': 0.0024752055760473013, 'Calm': 0.07943787425756454, 'Disgust': 0.1935543268918991, 'Fear': 0.008656367659568787, 'Happy': 0.0032398609910160303, 'Neutral': 0.024483192712068558, 'Sad': 0.679132878780365, 'Surprised': 0.009020279161632061}",That's what I was just thinking.
ASHLEY,00:43:26,00:43:33,Sad,"{'Anger': 0.00016212613263633102, 'Calm': 0.003970435820519924, 'Disgust': 0.00491698645055294, 'Fear': 0.03026752360165119, 'Happy': 0.0005675940192304552, 'Neutral': 0.0031613034661859274, 'Sad': 0.9558814167976379, 'Surprised': 0.001072589890100062}","What if they came, something brought them here because they wanted to forget things from their former life?"
MARISHA,00:43:33,00:43:39,Disgust,"{'Anger': 0.0022493910510092974, 'Calm': 0.001755787176080048, 'Disgust': 0.9573884606361389, 'Fear': 0.005121272057294846, 'Happy': 0.005276194773614407, 'Neutral': 0.003684213850647211, 'Sad': 0.023062989115715027, 'Surprised': 0.0014617195120081306}","I mean, they're convinced that this place is the center of the universe. I feel like, eventually, you're just going to believe that, no matter what you're told."
LAURA,00:43:39,00:43:42,Happy,"{'Anger': 0.004159437492489815, 'Calm': 0.009115956723690033, 'Disgust': 0.250890851020813, 'Fear': 0.150409996509552, 'Happy': 0.4006519615650177, 'Neutral': 0.011042654514312744, 'Sad': 0.16253584623336792, 'Surprised': 0.011193234473466873}","Everybody that comes here, stays."
TRAVIS,00:43:42,00:43:44,Disgust,"{'Anger': 0.00516503443941474, 'Calm': 0.0033991385716944933, 'Disgust': 0.7432020306587219, 'Fear': 0.01836474984884262, 'Happy': 0.18532182276248932, 'Neutral': 0.009419557638466358, 'Sad': 0.032030388712882996, 'Surprised': 0.003097282024100423}","Yeah, the percentages are just so high."
LAURA,00:43:44,00:43:49,Fear,"{'Anger': 0.0020856307819485664, 'Calm': 0.008447259664535522, 'Disgust': 0.014912485145032406, 'Fear': 0.49797382950782776, 'Happy': 0.3859294056892395, 'Neutral': 0.008858373388648033, 'Sad': 0.05690400302410126, 'Surprised': 0.024888956919312477}",Does that mean all of us came here because we wanted to forget?
TALIESIN,00:43:49,00:44:08,Disgust,"{'Anger': 0.0012219689087942243, 'Calm': 0.003205330343917012, 'Disgust': 0.524837851524353, 'Fear': 0.02678239904344082, 'Happy': 0.004530701786279678, 'Neutral': 0.009684750810265541, 'Sad': 0.4284350275993347, 'Surprised': 0.0013019433245062828}","On the other end of it, I mean, they've got this Vokodo, who demands precious things, not things of worth, but things that are precious. And when you run out of precious things, what are you left with to give?"
TALIESIN,00:44:08,00:44:14,Sad,"{'Anger': 0.0009074166300706565, 'Calm': 0.0027936636470258236, 'Disgust': 0.052563004195690155, 'Fear': 0.25388064980506897, 'Happy': 0.07717855274677277, 'Neutral': 0.03324664756655693, 'Sad': 0.5785272121429443, 'Surprised': 0.0009028196800500154}",Than yourself? Maybe that's what-- Maybe that's what it takes.
TRAVIS,00:44:14,00:44:20,Sad,"{'Anger': 0.0004363397601991892, 'Calm': 0.003304018871858716, 'Disgust': 0.03559773415327072, 'Fear': 0.11582890897989273, 'Happy': 0.0024757524952292442, 'Neutral': 0.0030149263329803944, 'Sad': 0.8379061818122864, 'Surprised': 0.0014361614594236016}",But it doesn't seem like most deities require material things?
TALIESIN,00:44:20,00:44:21,Happy,"{'Anger': 0.009176387451589108, 'Calm': 0.001240571029484272, 'Disgust': 0.007450489327311516, 'Fear': 0.006680126301944256, 'Happy': 0.9686529040336609, 'Neutral': 0.004232301842421293, 'Sad': 0.0011167008196935058, 'Surprised': 0.0014505044091492891}",I'm not convinced this is a deity.
MARISHA,00:44:21,00:44:22,Sad,"{'Anger': 0.00019431639520917088, 'Calm': 0.010266043245792389, 'Disgust': 0.004837983753532171, 'Fear': 0.008723474107682705, 'Happy': 0.0009431433281861246, 'Neutral': 0.11369393020868301, 'Sad': 0.8606349229812622, 'Surprised': 0.0007061500218696892}",Me neither. It's got to be something else.
LAURA,00:44:22,00:44:24,Sad,"{'Anger': 0.0018071187660098076, 'Calm': 0.007845799438655376, 'Disgust': 0.41144251823425293, 'Fear': 0.09936796873807907, 'Happy': 0.04001763090491295, 'Neutral': 0.007203727960586548, 'Sad': 0.42733341455459595, 'Surprised': 0.004981715232133865}","I really want to meet him, though!"
LIAM,00:44:24,00:44:28,Disgust,"{'Anger': 0.005480599123984575, 'Calm': 0.00995576661080122, 'Disgust': 0.27626413106918335, 'Fear': 0.23582486808300018, 'Happy': 0.21030472218990326, 'Neutral': 0.01804877631366253, 'Sad': 0.23540805280208588, 'Surprised': 0.008713002316653728}","Yes, we are going to have many questions unanswered until we find this Vokodo."
LAURA,00:44:28,00:44:32,Disgust,"{'Anger': 0.004408125765621662, 'Calm': 0.002402229467406869, 'Disgust': 0.9267305135726929, 'Fear': 0.012394491583108902, 'Happy': 0.03189012035727501, 'Neutral': 0.0028045002836734056, 'Sad': 0.014923572540283203, 'Surprised': 0.004446414299309254}",What if it's just a giant avocado? (laughter)
TRAVIS,00:44:32,00:44:34,Sad,"{'Anger': 0.0025859945453703403, 'Calm': 0.008281300775706768, 'Disgust': 0.20004767179489136, 'Fear': 0.21185825765132904, 'Happy': 0.1930856704711914, 'Neutral': 0.014193383976817131, 'Sad': 0.3623436689376831, 'Surprised': 0.007603999227285385}",Like the kind you eat?
LAURA,00:44:34,00:44:35,Surprised,"{'Anger': 0.005032229237258434, 'Calm': 0.011688361875712872, 'Disgust': 0.003205509390681982, 'Fear': 0.00451585603877902, 'Happy': 0.009745165705680847, 'Neutral': 0.002440426964312792, 'Sad': 0.0017997542163357139, 'Surprised': 0.9615726470947266}",Yeah!
LIAM,00:44:35,00:44:36,Happy,"{'Anger': 0.0033811309840530157, 'Calm': 0.0011045171413570642, 'Disgust': 0.008702762424945831, 'Fear': 0.024159038439393044, 'Happy': 0.9455769062042236, 'Neutral': 0.010807651095092297, 'Sad': 0.00555232772603631, 'Surprised': 0.0007156277424655855}",Avocoto?
TALIESIN,00:44:36,00:44:39,Sad,"{'Anger': 0.0002800433139782399, 'Calm': 0.0033070193603634834, 'Disgust': 0.009908556938171387, 'Fear': 0.17316420376300812, 'Happy': 0.002417874289676547, 'Neutral': 0.0028849781956523657, 'Sad': 0.8065178990364075, 'Surprised': 0.0015193917788565159}",I'd never leave.
TRAVIS,00:44:39,00:44:41,Sad,"{'Anger': 0.0002661402977537364, 'Calm': 0.003753943834453821, 'Disgust': 0.03738292679190636, 'Fear': 0.012613308615982533, 'Happy': 0.0006785447476431727, 'Neutral': 0.004543249495327473, 'Sad': 0.9397717118263245, 'Surprised': 0.000990206957794726}",A giant av-- I can just see the drawing now.
LAURA,00:44:41,00:44:45,Sad,"{'Anger': 0.0012288537109270692, 'Calm': 0.004069986753165722, 'Disgust': 0.16996710002422333, 'Fear': 0.2895036041736603, 'Happy': 0.023566460236907005, 'Neutral': 0.005374429747462273, 'Sad': 0.5026582479476929, 'Surprised': 0.0036312914453446865}",I'm going to send a message to Orly before I forget that I said I was going to send a message to Orly.
MATT,00:44:45,00:44:46,Disgust,"{'Anger': 0.0034957323223352432, 'Calm': 0.0032797190360724926, 'Disgust': 0.823435366153717, 'Fear': 0.037589799612760544, 'Happy': 0.062072280794382095, 'Neutral': 0.004686713218688965, 'Sad': 0.0619262233376503, 'Surprised': 0.0035140826366841793}",Okay.
TRAVIS,00:44:46,00:44:48,Sad,"{'Anger': 0.0004455794987734407, 'Calm': 0.002569236559793353, 'Disgust': 0.010589155368506908, 'Fear': 0.4628937244415283, 'Happy': 0.0060935658402740955, 'Neutral': 0.0033233428839594126, 'Sad': 0.5125955939292908, 'Surprised': 0.0014898309018462896}",Avocado!
LAURA,00:44:48,00:44:52,Happy,"{'Anger': 0.005001512821763754, 'Calm': 0.014628254808485508, 'Disgust': 0.2823050022125244, 'Fear': 0.11066547781229019, 'Happy': 0.40026721358299255, 'Neutral': 0.0138764139264822, 'Sad': 0.13966195285320282, 'Surprised': 0.03359415754675865}","We found-- count this, Fjord. Count this."
TRAVIS,00:44:52,00:44:53,Disgust,"{'Anger': 0.001202641986310482, 'Calm': 0.00443528825417161, 'Disgust': 0.5268698334693909, 'Fear': 0.025993075221776962, 'Happy': 0.0025507553946226835, 'Neutral': 0.0040208869613707066, 'Sad': 0.43262794613838196, 'Surprised': 0.0022995471954345703}",Count what?
LAURA,00:44:53,00:44:54,Happy,"{'Anger': 0.0029970642644912004, 'Calm': 0.0015846979804337025, 'Disgust': 0.0029137968085706234, 'Fear': 0.013133298605680466, 'Happy': 0.9706785678863525, 'Neutral': 0.0028455874416977167, 'Sad': 0.0011180248111486435, 'Surprised': 0.004728889092803001}",She's sending a message.
TRAVIS,00:44:54,00:44:55,Fear,"{'Anger': 0.00387296499684453, 'Calm': 0.006917362567037344, 'Disgust': 0.06373804062604904, 'Fear': 0.7204281687736511, 'Happy': 0.08352813869714737, 'Neutral': 0.001842333236709237, 'Sad': 0.04839911684393883, 'Surprised': 0.07127390801906586}",Oh!
LAURA,00:44:55,00:44:58,Happy,"{'Anger': 0.0036520243156701326, 'Calm': 0.0015138916205614805, 'Disgust': 0.004382224287837744, 'Fear': 0.008709684945642948, 'Happy': 0.9745839834213257, 'Neutral': 0.0026976456865668297, 'Sad': 0.0010779212461784482, 'Surprised': 0.0033826022408902645}",We found-- no!
TALIESIN,00:44:58,00:45:01,Sad,"{'Anger': 0.0008080266998149455, 'Calm': 0.004159392789006233, 'Disgust': 0.05042330175638199, 'Fear': 0.40331950783729553, 'Happy': 0.006393746007233858, 'Neutral': 0.002489403123036027, 'Sad': 0.5284576416015625, 'Surprised': 0.003948996774852276}",Sorry.
LAURA,00:45:01,00:45:21,Happy,"{'Anger': 0.0034369067288935184, 'Calm': 0.0018012525979429483, 'Disgust': 0.04142853245139122, 'Fear': 0.18681928515434265, 'Happy': 0.7408336400985718, 'Neutral': 0.003951537888497114, 'Sad': 0.01926601678133011, 'Surprised': 0.0024628823157399893}","-- a village. The people here could be crazy, maybe you guys should hide. Also, they might try to destroy ship. (laughter)"
SAM,00:45:21,00:45:23,Fear,"{'Anger': 0.002539115259423852, 'Calm': 0.001699890592135489, 'Disgust': 0.003363586962223053, 'Fear': 0.8901682496070862, 'Happy': 0.08441268652677536, 'Neutral': 0.0011154083767905831, 'Sad': 0.004982507321983576, 'Surprised': 0.01171863917261362}","Well, they're not going to hide the ship!"
LAURA,00:45:23,00:45:31,Happy,"{'Anger': 0.004226809833198786, 'Calm': 0.001802394981496036, 'Disgust': 0.0051404251717031, 'Fear': 0.03208935633301735, 'Happy': 0.9462058544158936, 'Neutral': 0.0019064064836129546, 'Sad': 0.00157596031203866, 'Surprised': 0.007052776403725147}","Well no, I'm just saying, like, if they come and they're like, ""We're going to destroy the ship because nobody's around,"" then Orly and the crew can come out and be like, ""Fuck you!"" And then they can destroy the people."
SAM,00:45:31,00:45:33,Surprised,"{'Anger': 0.0065919277258217335, 'Calm': 0.015136207453906536, 'Disgust': 0.04329149052500725, 'Fear': 0.170525923371315, 'Happy': 0.22832439839839935, 'Neutral': 0.0034025595523416996, 'Sad': 0.015963243320584297, 'Surprised': 0.5167642831802368}","Orly and our crew? There's four people, and one of them's Marius!"
TRAVIS,00:45:33,00:45:34,Happy,"{'Anger': 0.008857515640556812, 'Calm': 0.0065208724699914455, 'Disgust': 0.009034407325088978, 'Fear': 0.06600943952798843, 'Happy': 0.7626795768737793, 'Neutral': 0.002611201023682952, 'Sad': 0.002642689272761345, 'Surprised': 0.14164426922798157}",Marius is--
SAM,00:45:34,00:45:38,Disgust,"{'Anger': 0.00299831316806376, 'Calm': 0.0030645492952317, 'Disgust': 0.8998745679855347, 'Fear': 0.012930762954056263, 'Happy': 0.028026985004544258, 'Neutral': 0.004528794437646866, 'Sad': 0.046116434037685394, 'Surprised': 0.0024597072042524815}","Dead, they're dead!"
LAURA,00:45:38,00:45:40,Sad,"{'Anger': 0.00015562532644253224, 'Calm': 0.002823540475219488, 'Disgust': 0.007579869125038385, 'Fear': 0.04178868979215622, 'Happy': 0.0017431977903470397, 'Neutral': 0.02078130468726158, 'Sad': 0.9246244430541992, 'Surprised': 0.0005033434717915952}","Oh, that's right."
MATT,00:45:40,00:46:03,Disgust,"{'Anger': 0.0014732592971995473, 'Calm': 0.003230155911296606, 'Disgust': 0.8221782445907593, 'Fear': 0.013788722455501556, 'Happy': 0.0033485961612313986, 'Neutral': 0.0037016954738646746, 'Sad': 0.15034541487693787, 'Surprised': 0.0019339799182489514}","He goes, ""Appreciate the heads up. We're m-m-mighty well-hidden. We'll keep an eye. Woe be unto--"" and he just trails off. (laughter)"
LAURA,00:46:03,00:46:07,Happy,"{'Anger': 0.005639209412038326, 'Calm': 0.0051481109112501144, 'Disgust': 0.32633429765701294, 'Fear': 0.09569630026817322, 'Happy': 0.40157243609428406, 'Neutral': 0.01728011667728424, 'Sad': 0.1451137214899063, 'Surprised': 0.0032156568486243486}",I love him!
MARISHA,00:46:07,00:46:08,Disgust,"{'Anger': 0.002106829546391964, 'Calm': 0.0021994560956954956, 'Disgust': 0.8352172374725342, 'Fear': 0.03485916182398796, 'Happy': 0.008799142204225063, 'Neutral': 0.003136910032480955, 'Sad': 0.11190186440944672, 'Surprised': 0.001779397833161056}",Okay.
SAM,00:46:08,00:46:11,Fear,"{'Anger': 0.0006440632860176265, 'Calm': 0.0015036046970635653, 'Disgust': 0.004587618168443441, 'Fear': 0.9168130159378052, 'Happy': 0.0324251726269722, 'Neutral': 0.001871315180324018, 'Sad': 0.038571394979953766, 'Surprised': 0.0035838529001921415}","Okay, so we just go to dinner, what's the plan? We're going to, what?"
LAURA,00:46:11,00:46:13,Disgust,"{'Anger': 0.0028579728677868843, 'Calm': 0.003430180950090289, 'Disgust': 0.7723396420478821, 'Fear': 0.0738651379942894, 'Happy': 0.012721352279186249, 'Neutral': 0.003027145517989993, 'Sad': 0.12746822834014893, 'Surprised': 0.004290349781513214}",(gasps)
SAM,00:46:13,00:46:15,Disgust,"{'Anger': 0.004639497492462397, 'Calm': 0.0013479763874784112, 'Disgust': 0.9512447714805603, 'Fear': 0.016326459124684334, 'Happy': 0.007732214871793985, 'Neutral': 0.0017582066357135773, 'Sad': 0.014967392198741436, 'Surprised': 0.0019834330305457115}",What?
LAURA,00:46:15,00:46:19,Disgust,"{'Anger': 0.007758055813610554, 'Calm': 0.002171832602471113, 'Disgust': 0.6337378025054932, 'Fear': 0.24610064923763275, 'Happy': 0.04298137500882149, 'Neutral': 0.004322899039834738, 'Sad': 0.05922013148665428, 'Surprised': 0.0037072887644171715}",I can give the villagers tarot card readings!
TALIESIN,00:46:19,00:46:22,Sad,"{'Anger': 0.001637694425880909, 'Calm': 0.0035036662593483925, 'Disgust': 0.10562179237604141, 'Fear': 0.05496395379304886, 'Happy': 0.03300479054450989, 'Neutral': 0.3035470247268677, 'Sad': 0.49690210819244385, 'Surprised': 0.0008188503561541438}",I don't know what that's going to do.
TRAVIS,00:46:22,00:46:25,Fear,"{'Anger': 0.00047223648289218545, 'Calm': 0.002334742108359933, 'Disgust': 0.0043573202565312386, 'Fear': 0.8139358758926392, 'Happy': 0.005094179883599281, 'Neutral': 0.002288634655997157, 'Sad': 0.16919264197349548, 'Surprised': 0.0023243518080562353}",Is that what we're going to do for the next few hours?
SAM,00:46:25,00:46:35,Happy,"{'Anger': 0.006277613341808319, 'Calm': 0.01369811687618494, 'Disgust': 0.0893602967262268, 'Fear': 0.17574650049209595, 'Happy': 0.4934658706188202, 'Neutral': 0.0050950367003679276, 'Sad': 0.02505599707365036, 'Surprised': 0.19130061566829681}","They seem like they're living in the moment. They've given up all worldly possessions, and their memories. They're just living for the now, so I don't know if they would care about their future."
TALIESIN,00:46:35,00:46:39,Disgust,"{'Anger': 0.007080447394400835, 'Calm': 0.004181860014796257, 'Disgust': 0.8729238510131836, 'Fear': 0.013519959524273872, 'Happy': 0.0713614970445633, 'Neutral': 0.005692362319678068, 'Sad': 0.017848573625087738, 'Surprised': 0.007391551975160837}",I think their past and future is all in the volcano at the moment.
LAURA,00:46:39,00:46:43,Disgust,"{'Anger': 0.012824555858969688, 'Calm': 0.00307696801610291, 'Disgust': 0.6214461326599121, 'Fear': 0.09382045269012451, 'Happy': 0.24124473333358765, 'Neutral': 0.002877423306927085, 'Sad': 0.016100479289889336, 'Surprised': 0.008609241805970669}",Every card I pull is just a volcano! (laughter)
TALIESIN,00:46:43,00:46:46,Sad,"{'Anger': 0.0007990539888851345, 'Calm': 0.004064823966473341, 'Disgust': 0.2504332661628723, 'Fear': 0.027531147003173828, 'Happy': 0.0022566078696399927, 'Neutral': 0.006849267985671759, 'Sad': 0.706402599811554, 'Surprised': 0.00166319718118757}",I don't-- I think they'll agree.
TRAVIS,00:46:46,00:46:49,Fear,"{'Anger': 0.001001949654892087, 'Calm': 0.0011113218497484922, 'Disgust': 0.0072489408776164055, 'Fear': 0.8766310811042786, 'Happy': 0.06614845991134644, 'Neutral': 0.0030715821776539087, 'Sad': 0.04338688775897026, 'Surprised': 0.0013998887734487653}",Do you remember how long he said it was to the-
MATT,00:46:49,00:46:51,Happy,"{'Anger': 0.007416890002787113, 'Calm': 0.005836656782776117, 'Disgust': 0.031170858070254326, 'Fear': 0.062498945742845535, 'Happy': 0.8224654197692871, 'Neutral': 0.0028101284988224506, 'Sad': 0.005269911140203476, 'Surprised': 0.06253121048212051}",Yes! (laughter)
TRAVIS,00:46:51,00:46:57,Disgust,"{'Anger': 0.002198807429522276, 'Calm': 0.008372290059924126, 'Disgust': 0.4981708824634552, 'Fear': 0.049281589686870575, 'Happy': 0.016162339597940445, 'Neutral': 0.010630437172949314, 'Sad': 0.40994787216186523, 'Surprised': 0.005235646851360798}","The Shaded Tangle, do we remember how long he said it was to get to that door? From here?"
LAURA,00:46:57,00:46:58,Happy,"{'Anger': 0.0053141494281589985, 'Calm': 0.0013829160016030073, 'Disgust': 0.007182984612882137, 'Fear': 0.006419079843908548, 'Happy': 0.9724970459938049, 'Neutral': 0.004176471382379532, 'Sad': 0.0012866208562627435, 'Surprised': 0.0017407018458470702}",He said eight hours to get to the volcano.
LIAM,00:46:58,00:47:01,Disgust,"{'Anger': 0.012452681548893452, 'Calm': 0.004252329468727112, 'Disgust': 0.8368895053863525, 'Fear': 0.0069633056409657, 'Happy': 0.06871012598276138, 'Neutral': 0.04330826550722122, 'Sad': 0.02464120090007782, 'Surprised': 0.0027824959252029657}","Eight hours to the volcano, and the shady thing leads to, yeah."
LAURA,00:47:01,00:47:03,Disgust,"{'Anger': 0.007696433458477259, 'Calm': 0.005290844477713108, 'Disgust': 0.809216320514679, 'Fear': 0.010032476857304573, 'Happy': 0.13758264482021332, 'Neutral': 0.005902847275137901, 'Sad': 0.011825205758213997, 'Surprised': 0.012453321367502213}",I want to go to Heaven Falls!
TALIESIN,00:47:03,00:47:05,Happy,"{'Anger': 0.00361329922452569, 'Calm': 0.001725534675642848, 'Disgust': 0.01838231086730957, 'Fear': 0.018609091639518738, 'Happy': 0.9463274478912354, 'Neutral': 0.00453617237508297, 'Sad': 0.004206452984362841, 'Surprised': 0.0025997785851359367}","Heaven Falls, or the Ruin."
LAURA,00:47:05,00:47:07,Disgust,"{'Anger': 0.002816318068653345, 'Calm': 0.0033316819462925196, 'Disgust': 0.9007114171981812, 'Fear': 0.015675941482186317, 'Happy': 0.018496520817279816, 'Neutral': 0.003558652475476265, 'Sad': 0.051483023911714554, 'Surprised': 0.003926442936062813}",Both of those sound awesome!
MARISHA,00:47:07,00:47:11,Disgust,"{'Anger': 0.006847868207842112, 'Calm': 0.0015571769326925278, 'Disgust': 0.9742715954780579, 'Fear': 0.0017555418889969587, 'Happy': 0.003853983711451292, 'Neutral': 0.0035290606319904327, 'Sad': 0.006585809867829084, 'Surprised': 0.0015989163657650352}","But those were further, and then the Ruins are on the far north side."
LAURA,00:47:11,00:47:14,Disgust,"{'Anger': 0.005095667205750942, 'Calm': 0.0015436108224093914, 'Disgust': 0.9724951386451721, 'Fear': 0.0024627670645713806, 'Happy': 0.007117990404367447, 'Neutral': 0.002652925904840231, 'Sad': 0.00672680139541626, 'Surprised': 0.001905195415019989}","Yeah, and Heaven Falls is at the north, too, so we could hit up both!"
TALIESIN,00:47:14,00:47:19,Disgust,"{'Anger': 0.00274478318169713, 'Calm': 0.002093300921842456, 'Disgust': 0.9406663179397583, 'Fear': 0.008717347867786884, 'Happy': 0.005733418744057417, 'Neutral': 0.003245920641347766, 'Sad': 0.03449120745062828, 'Surprised': 0.0023077798541635275}","The Ruins could also be, like, the ruins of an old hotel and convention center, could work out really well."
LAURA,00:47:19,00:47:20,Disgust,"{'Anger': 0.010426175780594349, 'Calm': 0.020953014492988586, 'Disgust': 0.589526891708374, 'Fear': 0.024203596636652946, 'Happy': 0.12477151304483414, 'Neutral': 0.012334119528532028, 'Sad': 0.031410928815603256, 'Surprised': 0.18637380003929138}",I know!
LAURA,00:47:20,00:47:25,Happy,"{'Anger': 0.0027899278793483973, 'Calm': 0.001981360837817192, 'Disgust': 0.0067985630594193935, 'Fear': 0.02962530590593815, 'Happy': 0.9473351240158081, 'Neutral': 0.0028183048125356436, 'Sad': 0.002847061725333333, 'Surprised': 0.005804270971566439}","What if Heaven Falls is just like beautiful-- I mean, Heaven Falls, what if that's, like, the perfect place to hold a--?"
