speaker,start_time,end_time,emotion,scores
TRAVIS,00:19:49,00:19:50,sad,"{'angry': 0.000647365755867213, 'calm': 0.001399745000526309, 'disgust': 0.048063382506370544, 'fearful': 0.13676942884922028, 'happy': 0.0008685460197739303, 'sad': 0.8111288547515869, 'surprised': 0.00112260808236897}"
MATT,00:19:50,00:20:02,disgust,"{'angry': 0.0028564846143126488, 'calm': 0.0004712532099802047, 'disgust': 0.9674590229988098, 'fearful': 0.005300840828567743, 'happy': 0.002508673584088683, 'sad': 0.019584525376558304, 'surprised': 0.0018192201387137175}"
SAM,00:20:02,00:20:03,disgust,"{'angry': 0.011564109474420547, 'calm': 0.0014007646823301911, 'disgust': 0.5931943655014038, 'fearful': 0.22340677678585052, 'happy': 0.014537861570715904, 'sad': 0.15063093602657318, 'surprised': 0.005265074782073498}"
MATT,00:20:03,00:20:04,disgust,"{'angry': 0.0033499179407954216, 'calm': 0.000453992688562721, 'disgust': 0.9252697825431824, 'fearful': 0.018923038616776466, 'happy': 0.0031526819802820683, 'sad': 0.04600933939218521, 'surprised': 0.0028411748353391886}"
SAM,00:20:04,00:20:05,disgust,"{'angry': 0.0035243479069322348, 'calm': 0.0004417073796503246, 'disgust': 0.9800052642822266, 'fearful': 0.0024953943211585283, 'happy': 0.002738373586907983, 'sad': 0.008695918135344982, 'surprised': 0.002099063480272889}"
TRAVIS,00:20:05,00:20:07,disgust,"{'angry': 0.0025453960988670588, 'calm': 0.0006250072619877756, 'disgust': 0.9071757793426514, 'fearful': 0.01789257675409317, 'happy': 0.0027668853290379047, 'sad': 0.0668846145272255, 'surprised': 0.00210962793789804}"
MARISHA,00:20:07,00:20:10,disgust,"{'angry': 0.0035337500739842653, 'calm': 0.0014336700551211834, 'disgust': 0.42968371510505676, 'fearful': 0.1586991250514984, 'happy': 0.003923288080841303, 'sad': 0.40046724677085876, 'surprised': 0.002259238390251994}"
MATT,00:20:10,00:20:54,disgust,"{'angry': 0.0021081757731735706, 'calm': 0.0006311045726761222, 'disgust': 0.9150588512420654, 'fearful': 0.012184086255729198, 'happy': 0.001985055860131979, 'sad': 0.06608128547668457, 'surprised': 0.0019513425650075078}"
LIAM,00:20:54,00:20:58,sad,"{'angry': 0.0014572449726983905, 'calm': 0.0014929239405319095, 'disgust': 0.1966196596622467, 'fearful': 0.11830946803092957, 'happy': 0.0015694298781454563, 'sad': 0.6790433526039124, 'surprised': 0.0015079486183822155}"
LAURA,00:20:58,00:20:59,sad,"{'angry': 0.00029420002829283476, 'calm': 0.0014014499029144645, 'disgust': 0.021948598325252533, 'fearful': 0.036661483347415924, 'happy': 0.0002634813718032092, 'sad': 0.9382533431053162, 'surprised': 0.001177390688098967}"
MATT,00:20:59,00:21:03,disgust,"{'angry': 0.0016091351862996817, 'calm': 0.0009523006156086922, 'disgust': 0.75023353099823, 'fearful': 0.025145065039396286, 'happy': 0.0016383050242438912, 'sad': 0.21814365684986115, 'surprised': 0.0022781086154282093}"
LAURA,00:21:03,00:21:05,disgust,"{'angry': 0.01037677563726902, 'calm': 0.0012300073867663741, 'disgust': 0.5165050029754639, 'fearful': 0.2672300338745117, 'happy': 0.01058979518711567, 'sad': 0.18901555240154266, 'surprised': 0.005052824039012194}"
MATT,00:21:05,00:21:08,disgust,"{'angry': 0.006948113441467285, 'calm': 0.00028954847948625684, 'disgust': 0.9704340696334839, 'fearful': 0.006141520105302334, 'happy': 0.003933263011276722, 'sad': 0.009294464252889156, 'surprised': 0.0029589920304715633}"
ORION,00:21:08,00:21:10,disgust,"{'angry': 0.004553582053631544, 'calm': 0.0004942493978887796, 'disgust': 0.9797685742378235, 'fearful': 0.0025153288152068853, 'happy': 0.0035865812096744776, 'sad': 0.0073586744256317616, 'surprised': 0.0017228712094947696}"
ORION,00:21:10,00:21:11,disgust,"{'angry': 0.0013221949338912964, 'calm': 0.0007383720949292183, 'disgust': 0.8140553832054138, 'fearful': 0.013502887450158596, 'happy': 0.0011407124111428857, 'sad': 0.16591796278953552, 'surprised': 0.003322430420666933}"
SAM,00:21:11,00:21:12,sad,"{'angry': 0.0010307664051651955, 'calm': 0.0015447421465069056, 'disgust': 0.0970701053738594, 'fearful': 0.13942000269889832, 'happy': 0.0012483794707804918, 'sad': 0.7585048675537109, 'surprised': 0.0011811722069978714}"
MATT,00:21:12,00:21:38,disgust,"{'angry': 0.002166011603549123, 'calm': 0.0005777879268862307, 'disgust': 0.9306776523590088, 'fearful': 0.010153847746551037, 'happy': 0.0019755323883146048, 'sad': 0.052506014704704285, 'surprised': 0.0019431980326771736}"
SAM,00:21:38,00:21:40,disgust,"{'angry': 0.0028431036043912172, 'calm': 0.0004430002300068736, 'disgust': 0.9678983092308044, 'fearful': 0.005332907196134329, 'happy': 0.002361931139603257, 'sad': 0.01926662214100361, 'surprised': 0.0018542308825999498}"
MATT,00:21:40,00:21:41,sad,"{'angry': 0.00015410046034958214, 'calm': 0.008901897817850113, 'disgust': 0.0049603828229010105, 'fearful': 0.0918765515089035, 'happy': 0.0008256229921244085, 'sad': 0.8925203084945679, 'surprised': 0.0007612050976604223}"
SAM,00:21:41,00:21:46,disgust,"{'angry': 0.002888492774218321, 'calm': 0.0017813639715313911, 'disgust': 0.46495524048805237, 'fearful': 0.10399285703897476, 'happy': 0.003202998312190175, 'sad': 0.42151859402656555, 'surprised': 0.0016604611882939935}"
TALIESIN,00:21:46,00:21:49,disgust,"{'angry': 0.0023567448370158672, 'calm': 0.0006203315570019186, 'disgust': 0.9628719687461853, 'fearful': 0.004504610318690538, 'happy': 0.0018041162984445691, 'sad': 0.026336152106523514, 'surprised': 0.001506220898590982}"
ORION,00:21:49,00:21:50,fearful,"{'angry': 0.011791199445724487, 'calm': 0.0016067149117588997, 'disgust': 0.20006082952022552, 'fearful': 0.6227505207061768, 'happy': 0.018756592646241188, 'sad': 0.1420571655035019, 'surprised': 0.002976970514282584}"
TRAVIS,00:21:50,00:21:52,sad,"{'angry': 0.0006610031705349684, 'calm': 0.001339128939434886, 'disgust': 0.12425059080123901, 'fearful': 0.043430179357528687, 'happy': 0.0005622548633255064, 'sad': 0.8282140493392944, 'surprised': 0.0015428912593051791}"
